old_field,ecs_field,type,format
@timestamp,,date,_omitempty_
@version,,text,_omitempty_
actor.cmd_line,,text,_omitempty_
actor.pid,,long,_omitempty_
actor.session_id,,long,_omitempty_
agent.ephemeral_id,,text,_omitempty_
agent.hostname,,text,_omitempty_
agent.id,,text,_omitempty_
agent.type,,text,_omitempty_
agent.version,,text,_omitempty_
category_id,,long,_omitempty_
composite,,long,_omitempty_
connection.direction_id,network.direction,long,_omitempty_
connection.dst_ip,destination.ip,text,_omitempty_
connection.dst_name,destination.domain,text,_omitempty_
connection.dst_port,destination.port,long,_omitempty_
connection.dst_service,process.executable,text,_omitempty_
connection.ether_type,,long,_omitempty_
connection.protocol_id,destination.protocol,long,_omitempty_
connection.src_ip,source.ip,text,_omitempty_
connection.src_name,source.host.name,text,_omitempty_
connection.src_port,source.port,long,_omitempty_
connection.src_service,process.executable,text,_omitempty_
content_ver,,text,_omitempty_
count,,long,_omitempty_
curr_ver,,text,_omitempty_
customer_uid,client.id,text,_omitempty_
device_domain,client.domain,text,_omitempty_
device_end_time,event.end,float,_omitempty_
device_group,host.group,text,_omitempty_
device_ip,host.ip,ip,_omitempty_
device_location.desc,,text,_omitempty_
device_location.on_premises,,boolean,_omitempty_
device_name,host.hostname,text,_omitempty_
device_os_name,host.os,text,_omitempty_
device_time,host.time,float,_omitempty_
device_uid,host.id,text,_omitempty_
domain_uid,domain.id,text,_omitempty_
ecs.version,,text,_omitempty_
end_time,,date,_omitempty_
entity.name,,text,_omitempty_
entity.type,,text,_omitempty_
entity.uid,,text,_omitempty_
entity.version,,long,_omitempty_
entity_result.name,,text,_omitempty_
entity_result.type,,text,_omitempty_
entity_result.uid,,text,_omitempty_
entity_result.version,,long,_omitempty_
epmp_session_id,,text,_omitempty_
event_type,,text,_omitempty_
feature_name,,text,_omitempty_
feature_uid,,text,_omitempty_
file.company_name,file.company_name,text,_omitempty_
file.creator_process,file.creator_process,text,_omitempty_
file.folder,file.folder,text,_omitempty_
file.name,file.name,text,_omitempty_
file.path,file.path,text,_omitempty_
file.product_name,,text,_omitempty_
file.rep_discovered_band,,long,_omitempty_
file.rep_prevalence,,long,_omitempty_
file.rep_score,,long,_omitempty_
file.sha2,file.hash,text,_omitempty_
file.signature_company_name,,text,_omitempty_
file.signature_created_date,,long,_omitempty_
file.signature_issuer,,text,_omitempty_
file.signature_serial_number,,text,_omitempty_
file.signature_value,,float,_omitempty_
file.size,,float,_omitempty_
file.type_id,,long,_omitempty_
file.version,,text,_omitempty_
host.name,host.name,keyword,_omitempty_
id,,long,_omitempty_
indexDate,,date,_omitempty_
indexHash,,long,_omitempty_
log_name,,text,_omitempty_
log_time,,date,_omitempty_
message,,text,_omitempty_
message_id,,text,_omitempty_
org_unit_uid,,text,_omitempty_
parent.cmd_line,,text,_omitempty_
parent.pid,,long,_omitempty_
parent.session_id,,long,_omitempty_
peripheral_device.instance_uid,,text,_omitempty_
peripheral_device.name,,text,_omitempty_
policy.name,,text,_omitempty_
policy.rule_category_id,,long,_omitempty_
policy.rule_name,,text,_omitempty_
policy.rule_uid,,text,_omitempty_
policy.uid,,text,_omitempty_
policy.version,,text,_omitempty_
prev_ver,,text,_omitempty_
product_name,,text,_omitempty_
product_uid,,text,_omitempty_
product_ver,,text,_omitempty_
quarantine_uid,,text,_omitempty_
raw_data,,text,_omitempty_
reason_id,,long,_omitempty_
scan_uid,,text,_omitempty_
seq_num,,long,_omitempty_
severity_id,event.severity,long,_omitempty_
status_detail,,text,_omitempty_
status_id,,long,_omitempty_
stic_hw_uid,,text,_omitempty_
stic_uid,,text,_omitempty_
subfeature_name,,text,_omitempty_
tags,,text,_omitempty_
threat.cve_uid,,text,_omitempty_
threat.id,,long,_omitempty_
threat.name,,text,_omitempty_
threat.risk_id,,long,_omitempty_
threat.sub_id,,long,_omitempty_
threat.type_id,,long,_omitempty_
time,event.start,date,_omitempty_
timezone,,long,_omitempty_
type,,text,_omitempty_
type_id,,long,_omitempty_
user_name,user.name,text,_omitempty_
uuid,,text,_omitempty_
version,,text,_omitempty_
